,Item,X,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,validresponse_rowcount0s,dontknow_rowcount1s,noanswer_rowcount2s,skippedweb_rowcount3s,notapplicable_rowcount4s,GSSlabel,label,alicia_rating,john-o_rating,
59,JOBFIND,406,9.209473684,38.39,6,2.87,629,2,9,2,4573,Could R find equally good job,"About how easy would it be for you to find a job with another employer with approximately the same income and fringe benefits you now have? Would you say very easy, somewhat easy, or not easy at all?",I don't mind sharing (1),mostly comfortable sharing (2),
60,JOBLOSE,408,12.89428571,37.13571429,9,4.625,630,1,9,2,4573,Is R likely to lose job,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--very likely, fairly likely, not too likely, or not at all likely?",mostly comfortable sharing (2),mostly comfortable sharing (2),
61,LETDIE1,433,13.85555556,25.96555556,10,5.34,590,5,2,2,4616,Allow incurable patients to die,"When a person has a disease that cannot be cured, do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?",mostly uncomfortable sharing (5),mostly comfortable sharing (2),
62,LETIN1A,434,8.756666667,39.88666667,4,-0.42,1151,13,2,12,4037,Number of immigrants nowadays should be,Do you think the number of immigrants to America nowadays should be...,somewhat comfortable sharing (3),mostly comfortable sharing (2),
63,LIBATH,435,14.95875,33.01375,11,5.22,602,3,0,1,4609,Allow anti-religious book in library,"If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?",somewhat uncomfortable sharing (4),I don't mind sharing (1),
64,LIBCOM,436,6.936363636,47.77363636,3.666666667,0.975,592,6,2,6,4609,Allow communists book in library,"communist - Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?",somewhat uncomfortable sharing (4),I don't mind sharing (1),
65,LIBHOMO,437,15.77666667,33.8,10,4.5,598,2,3,3,4609,Allow homosexuals book in library," If somebody in your community suggests that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing it, or not?",somewhat uncomfortable sharing (4),I don't mind sharing (1),
66,LIBMIL,438,9.223684211,42.76,5.333333333,1.793333333,596,2,1,7,4609,Allow militarists book in library," Suppose he wrote a book advocating doing away with elections and letting the military run the country.
Somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
67,LIBMSLM,439,15.59142857,28.99285714,11,6.375,594,5,1,6,4609,Allow anti-American muslim clergymen's books in library,"If some people in your community suggested that a book he wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
68,LIBRAC,440,14.80121212,32.59363636,9,5.595,595,3,2,6,4609,Allow racists book in library,"If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library, would you favor removing this book, or not?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
69,LIFE,441,6.936363636,47.77363636,4,-0.675,1215,1,0,1,3998,Is life exciting or dull,"In general, do you find life exciting, pretty routine, or dull?",I don't mind sharing (1),I don't mind sharing (1),
70,LIVEBLKS,444,11.37692308,31.51153846,9,7.491666667,1164,6,1,7,4037,Neighborhood half black,"Now we are going to ask you about different types of contact with various groups of people. For the following situation, please indicate whether you would be very much in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very much opposed to it happening. Living in a neighborhood where half of your neighbors are Blacks?",somewhat uncomfortable sharing (4),I don't mind sharing (1),
71,LOCALNUM,446,8.098181818,38.76636364,4.333333333,2.753333333,927,50,17,4,4217,Number of employees: R's work site,"About how many people work at the location where you work? Count part-time as well as full-time employees in all areas, departments, and buildings. If the location where you work is temporarily closed, please tell us how many people usually work there.",I don't mind sharing (1),I don't mind sharing (1),
72,LONELY1,447,5.4,17.335,2,-0.06,1775,1,3,5,3431,How often in the past 4 weeks R has felt they lack companionship,How often in the past 4 weeks have you felt that…You lack companionship?,somewhat comfortable sharing (3),somewhat uncomfortable sharing (4),
73,LONELY2,448,6.507777778,25.19111111,3,0.3,1779,0,3,2,3431,How often in the past 4 weeks R has felt isolated from others,(How often in the past 4 weeks have you felt that…) You are isolated from others?,somewhat comfortable sharing (3),somewhat uncomfortable sharing (4),
74,MARAsian,476,11.22727273,39.13727273,7,-0.675,1164,4,1,9,4037,Close relative marry Asian,What about having a close relative marry an Asian American person?,somewhat comfortable sharing (3),I don't mind sharing (1),
75,MARBLK,477,7.19,47.6,5,-0.9,1170,3,0,5,4037,Close relative marry black,What about having a close relative marry a Black person?,somewhat comfortable sharing (3),I don't mind sharing (1),
76,MARHISP,480,10.72333333,31.97,7,-0.42,1161,3,1,13,4037,Close relative marry Hispanic,What about having a close relative marry a Hispanic or Latino person?,somewhat comfortable sharing (3),I don't mind sharing (1),
77,MARHOMO,481,10.20888889,36.67888889,4,-0.915,1201,6,3,6,3999,Homosexuals should have right to marry,Homosexual couples have the right to marry one another.,somewhat comfortable sharing (3),somewhat comfortable sharing (3),
78,MARITAL,482,10.35692308,33.10692308,7,-0.395,1818,2,1,2,3392,Marital status,"Are you currently--married, widowed, divorced, separated, or have you never been married?",I don't mind sharing (1),I don't mind sharing (1),
79,MARWHT,484,10.76210526,35.89,9.5,2.87,1168,6,0,4,4037,R favor close relative marrying white person,"What about having a close relative marry a White person? Would you be very in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
80,MEOVRWRK,503,7.773333333,47.80333333,5,-0.54,1176,2,1,1,4035,Men hurt family when focus on work too much,Family life often suffers because men concentrate too much on their work.,somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
81,NATAID,547,5.993333333,47.31666667,5,-0.375,875,20,1,8,4311,Foreign aid,"Foreign aid... are we spending too much, too little, or about the right amount on",somewhat comfortable sharing (3),I don't mind sharing (1),
82,NATAIDY,548,8.392941176,46.68176471,7,0.115,906,5,1,7,4296,Assistance to other countries:Ver Y,"... are we spending too much, too little, or about the right amount on Assistance to other countries?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
83,NATARMS,549,9.785555556,41.02444444,7,0.48,894,6,0,4,4311,"Military, armaments, and defense","... are we spending too much, too little, or about the right amount on The military, armaments and defense?",somewhat comfortable sharing (3),I don't mind sharing (1),
84,NATARMSY,550,7.566666667,47.31666667,6,-0.225,913,3,0,3,4296,National defense:Version Y,"... are we spending too much, too little, or about the right amount on National defense?",somewhat comfortable sharing (3),I don't mind sharing (1),
85,NATCHLD,551,7.6125,41.085,6,-0.06,1773,30,1,19,3392,Assistance for childcare,"... are we spending too much, too little, or about the right amount on Assistance for childcare?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
86,NATCITY,552,8.14,40.7,7,0.5,880,18,0,6,4311,Solving problems of big cities,"... are we spending too much, too little, or about the right amount on Solving the problems of the big cities?",I don't mind sharing (1),mostly comfortable sharing (2),
87,NATCITYY,553,7.698823529,46.68176471,6,0.115,883,30,0,6,4296,Assistance to big cities:Version Y,"... are we spending too much, too little, or about the right amount on Assistance to big cities?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
88,NATCRIME,554,7.163333333,46.30222222,6,0.12,891,8,0,5,4311,Halting rising crime rate,"... are we spending too much, too little, or about the right amount on Halting the rising crime rate?",mostly comfortable sharing (2),I don't mind sharing (1),
89,NATCRIMY,555,6.78,47.31666667,5,-0.225,908,3,2,6,4296,Law enforcement:Version Y,"... are we spending too much, too little, or about the right amount on Law enforcement?",somewhat uncomfortable sharing (4),I don't mind sharing (1),
90,NATDRUG,556,7.698823529,41.09352941,6,0.115,896,5,0,3,4311,Dealing with drug addiction,"... are we spending too much, too little, or about the right amount on Dealing with drug addiction?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
91,NATDRUGY,557,9.14,40.98333333,5,-0.225,897,13,3,6,4296,Drug rehabilitation:Version Y,"... are we spending too much, too little, or about the right amount on Drug rehabilitation?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
92,NATEDUC,558,10.44111111,35.74666667,8,0.48,900,1,0,3,4311,Improving nations education system,"... are we spending too much, too little, or about the right amount on Improving the nation's education system?",mostly comfortable sharing (2),I don't mind sharing (1),
93,NATEDUCY,559,7.57,47.55428571,5,-0.38,913,4,0,2,4296,Education:Version Y,"... are we spending too much, too little, or about the right amount on Education?",mostly comfortable sharing (2),I don't mind sharing (1),
94,NATENRGY,560,11.86352941,29.91705882,8,0.455,1797,17,1,8,3392,Developing alternative energy sources,"... are we spending too much, too little, or about the right amount on Developing alternative energy sources?",somewhat comfortable sharing (3),I don't mind sharing (1),
95,NATENVIR,561,10.44111111,46.30222222,7,0.66,896,6,0,2,4311,Improving & protecting environment,"... are we spending too much, too little, or about the right amount on Improving and protecting the environment?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
96,NATENVIY,562,7.566666667,47.31666667,5,-0.225,911,5,1,2,4296,The environment:Version Y,"... are we spending too much, too little, or about the right amount on The environment?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
97,NATFARE,563,5.884285714,47.55428571,5,-0.52,891,8,1,4,4311,Welfare,"... are we spending too much, too little, or about the right amount on Welfare?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
98,NATFAREY,564,7.004705882,46.68176471,5,0.115,912,1,0,6,4296,Assistance to the poor:Version Y,"... are we spending too much, too little, or about the right amount on Assistance for the poor?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
99,NATHEAL,565,9.209473684,45.89,7,0.685,885,6,0,13,4311,Improving & protecting nations health,"... are we spending too much, too little, or about the right amount on Improving and protecting the nation's health?",somewhat comfortable sharing (3),I don't mind sharing (1),
100,NATHEALY,566,5.041428571,54.34,4,-0.52,910,4,0,5,4296,Health:Version Y,"... are we spending too much, too little, or about the right amount on Health?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
101,NATMASS,568,7.566666667,40.98333333,5,-0.225,1788,24,0,11,3392,Mass transportation,"... are we spending too much, too little, or about the right amount on Mass transportation?",I don't mind sharing (1),I don't mind sharing (1),
102,NATPARK,571,7.6125,47.0225,5,-0.06,1804,11,1,7,3392,Parks and recreation,"... are we spending too much, too little, or about the right amount on Parks and recreation?",I don't mind sharing (1),I don't mind sharing (1),
103,NATRACE,572,8.474444444,46.30222222,6,0.48,883,8,4,9,4311,Improving the conditions of blacks,"... are we spending too much, too little, or about the right amount on Improving the conditions of Blacks?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
104,NATRACEY,573,6.875,47.0225,5,-0.06,896,12,3,8,4296,Assistance to blacks:Version Y,"... are we spending too much, too little, or about the right amount on Assistance to Blacks?",somewhat comfortable sharing (3),somewhat uncomfortable sharing (4),
105,NATSCI,577,9.825,35.1475,7,0.1,1794,20,0,9,3392,Supporting scientific research,"... are we spending too much, too little, or about the right amount on Supporting scientific research?",I don't mind sharing (1),somewhat comfortable sharing (3),
106,NATSOC,578,8.353333333,40.98333333,6,-0.225,1800,12,0,11,3392,Social security,"... are we spending too much, too little, or about the right amount on Social Security?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
107,NATSPAC,579,8.392941176,41.09352941,6,0.115,883,18,0,3,4311,Space exploration program,"... are we spending too much, too little, or about the right amount on The space exploration program?",somewhat comfortable sharing (3),I don't mind sharing (1),
108,NATSPACY,580,7.566666667,47.31666667,5,-0.225,896,21,0,2,4296,Space exploration:Version Y,"... are we spending too much, too little, or about the right amount on Space exploration?",somewhat comfortable sharing (3),I don't mind sharing (1),
109,NEWS,586,8.52,47.44,4,1.86,1179,0,0,0,4036,How often Does R read newspaper,"How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or never?",I don't mind sharing (1),I don't mind sharing (1),
110,NOTSMART,590,4.097222222,54.685,2.5,0.4575,1191,7,3,4,4010,People act as if they think R is not smart,(In your day-to-day life how often have any of the following things happened to you?) People act as if they think you are not smart.,mostly comfortable sharing (2),mostly comfortable sharing (2),
111,OTHLANG,621,4.790909091,30.50090909,4,-0.895,1809,0,11,3,3392,Can R speak language other than English/Spanish,Can you speak a language other than {response to QUEXLANG:b;L}?,I don't mind sharing (1),I don't mind sharing (1),Check this question and perhaps edit.
112,OWNGUN,629,4.823333333,47.80333333,3,-0.66,1195,0,0,23,3997,Have gun in home,Do you happen to have in your home any guns or revolvers?,I don't mind sharing (1),somewhat uncomfortable sharing (4),
113,PILLOK,674,15.69625,15.20125,14,4.9,1163,9,0,7,4036,Birth control to teenagers 14-16,"Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?",mostly uncomfortable sharing (5),somewhat uncomfortable sharing (4),
114,PISTOL,675,3.755,34.73,3,-1.18,1198,18,2,0,3997,Pistol or revolver in home,"Is it a pistol, shotgun, rifle, or what?",I don't mind sharing (1),mostly comfortable sharing (2),
115,POLVIEWS,682,8.138,25.9,4,3.833333333,1784,16,7,12,3396,Think of self as liberal or conservative,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal—point 1—to extremely conservative—point 7. Where would you place yourself on this scale?,somewhat uncomfortable sharing (4),none of your business (6),
116,POORSERV,683,6.727142857,50.94714286,5,0.74,1189,7,2,7,4010,R recieves poorer service in restaurants or stores,(In your day-to-day life how often have any of the following things happened to you?) You receive poorer service than other people at restaurants or stores.,mostly comfortable sharing (2),I don't mind sharing (1),
117,POPESPKS,684,9.0875,29.21,6,0.1,390,2,3,1,4819,Pope is infallible on matteR's of faith or morals,"Under certain conditions, the pope is infallible when he speaks on matters of faith and morals.",somewhat comfortable sharing (3),somewhat uncomfortable sharing (4),
118,POSTLIFE,689,6.78,47.31666667,5,-0.225,1740,57,3,16,3399,Belief in life after death,Now turning to a different topic: Do you believe there is a life after death?,somewhat comfortable sharing (3),I don't mind sharing (1),
119,PRAY,690,2.483333333,59.86,2,-1.32,1806,1,10,6,3392,How often Does R pray,About how often do you pray?,mostly comfortable sharing (2),mostly uncomfortable sharing (5),
120,PRAYER,691,8.895238095,33.67666667,6,3.75,1168,7,0,5,4035,Bible prayer in public schools,The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. What are your views on this--do you approve or disapprove of the court ruling?,somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
121,PREMARSX,693,10.24083333,33.58583333,8,4.98,1170,6,1,2,4036,Sex before marriage,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and a woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
