Item,GSSlabel,label
COLMSLM,Allow anti-American muslim clergymen teaching in college,"Should such a person be allowed to teach in a college or university, or not? (anti-American muslim clergymen)"
COLRAC,Allow racist to teach," Should such a person be allowed to teach in a college or university, or not? (racist)"
COLSCI,R has taken any college-level sci course,
COLSCINM,Number of college-level sci courses R have taken,
COMFORT,Religion helps people to gain comfort in times of trouble and sorrow,
COMPANY,Which company would R prefer to work for,
COMPPERF,Size of perf based pay depend on profits,
COMPREND,R's understanding of questions,
COMPUSE,R use computer,"Do you personally ever use a computer at home, at work, or at some other location?"
COMPWAGE,Annual wages in previous year were higher than same jobs in other companies,
CONARMY,Confidence in military,
CONBIZ,Confidence in business and industry,
CONBUS,Confidence in major companies,
CONCHURH,Confidence in churches and religious orgs,
CONCLERG,Confidence in organized religion,
CONCONG,Confidence in us congress,
CONCOURT,Confidence in courts and legal system,
CONDEMND,R free from conflicting demands,
CONDOM,Used condom last time,
CONDRIFT,Sci knowledge: the continents have been moving,
CONEDUC,Confidence in education,
CONF2F,How many people R sees face to face,
CONFED,Confid. in exec branch of fed govt,
CONFINAN,Confid in banks & financial institutions,
CONINC,Family income in constant dollars,
CONJUDGE,Confid. in united states supreme court,
CONLABOR,Confidence in organized labor,
CONLEGIS,Confidence in congress,
CONMEDIC,Confidence in medicine,
CONPRESS,Confidence in press,
CONRINC,Respondent income in constant dollars,
CONSCHLS,Confidence in schools and educ system,
CONSCI,Confidence in scientific community,
CONSENT,Participation/recording consent,
CONTV,Confidence in television,
CONWKDAY,Number of people R contacts with on a typical weekday,
COOCC10,Partner's census occupation code (2010),
COOP,R's attitude toward interview,"IN GENERAL, WHAT WAS THE RESPONDENT'S ATTITUDE TOWARD THE INTERVIEW?"
COOTHER,Other protestant denominations,
COPRES10,Partner's occupational prestige score (2010),
COPRES105PLUS,Partner's occupational prestige score using threshold method (2010),
COREL,Partner's religious preference,
COSEI10,Partner's socioeconomic index (2010),
COSEI10EDUC,Percentage of some college educ in COOCC10 based on ACS 2010,
COSEI10INC,Percentage of $45K+ earners in COOCC10 based on ACS 2010,
COURTS,Courts dealing with criminals,"In general, do you think the courts in your area deal too harshly or not harshly enough with criminals?"
COWRKHLP,Coworkers can be relied on when R needs help,
COWRKINT,Coworkers take a Personal interest in R,
COWRKSLF,Partner self-emp. or works for somebody else,
COWRKSTA,Partner's labor force status,
CRACK30,R last use crack cocaine,
DANGOTH1,How dangerous R thinks Person 1 is to others,
DANGOTH2,How dangerous R thinks Person 2 is to others,
DANGOTH3,How dangerous R thinks Person 3 is to others,
DANGOTH4,How dangerous R thinks Person 4 is to others,
DANGOTH5,How dangerous R thinks Person 5 is to others,
DANGROTH,X should be admitted to be hospitalized for treatment if dangerous to others,
DANGRSLF,X should be admitted to be hospitalized for treatment if dangerous to x,
DANGSLF1,How dangerous R thinks Person 1 is to themself,
DANGSLF2,How dangerous R thinks Person 2 is to themself,
DANGSLF3,How dangerous R thinks Person 3 is to themself,
DANGSLF4,How dangerous R thinks Person 4 is to themself,
DANGSLF5,How dangerous R thinks Person 5 is to themself,
DATEINTV,Date of interview,
DECMONEY,How able is X to decide managing own money,
DECTREAT,How able is X to decide receive treatment,
DEFPENSN,R has defined benefit pension plan,
DEGREE,R's highest degree,
DEMANDS,R feels that family make too many demands on R,
DENKID,"If protestant, denomination R raised in",
DENOM,Specific denomination,"What specific denomination is that, if any?"
DENOM16,Denomination in which R was raised,
DEPRESS,Told have depression,
DEPTPERF,Size of perf based pay depend on workgroup,
DIABETES,Told have diabetes,
DIAGNOSD,R ever diagnosed with MH problem,
DIFREL,People belonging to different religions cannot get along with each other when living close together.,
DINEFRDS,How often R went out to eat or drink with at least 3 non-family members,
DIPGED,"Diploma, ged, or other",
DISCAFF,Whites hurt by aff. action,"What do you think the chances are these days that a White person won't get a job or promotion while an equally or less qualified Black person gets one instead? Is this very likely, somewhat likely, or not very likely to happen these days?"
DISCAFFM,A man won't get a job or promotion,"What do you think the chances are these days that a man won't get a job or promotion while an equally or less qualified woman gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?"
DISCAFFW,A woman won't get a job or promotion,"What do you think the chances are these days that a woman won't get a job or promotion while an equally or less qualified man gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?"
DISRSPCT,R is treated with less courtesy or respect than others,In your day-to-day life how often have any of the following things happened to you? You are treated with less courtesy or respect than other people.
DIVLAW,Divorce laws,Should divorce in this country be easier or more difficult to obtain than it is now?
DIVORCE,Ever been divorced or separated,Have you ever been divorced or legally separated?
DOFIRST,Here are the things you said {#SecL_NAME} should do...,
DOG,Dog,
DOGB4,Dog,
DWELLING,Type of structure,
DWELLPRE,Type of structure in which the respondent lives,
DWELOWN,Does R own or rent home?,"Currently, do you (or does your family) own your home, pay rent, or something else?"
DWELOWN16,DID Rs FAMILY OWN OR RENT HOME WHEN R WAS AGE 16,
EARNRS,How many in family earned money,EARNRS
EARTHSUN,Sci knowledge: the earth goes around the sun,
EDUC,Highest year of school completed,
EGOMEANS,Life meaningful only if you provide meaning,
ELECTRON,Sci knowledge: electrons are smaller than atoms,
EMAILHR,Email hours per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?
EMAILMIN,Email minutes per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?
EMOPROBS,"In the past 7 days, how often R has been bothered by emotional problems",
EMPINPUT,R involved in any task force for decision-making,
EMPTRAIN,Received formal training from employer,
ENDSMEET,How difficult or easy is it for R's household to make ends meet,
EQWLTH,Should govt reduce income differences,
ESOP,R is member of esop,
ESOPNOT,Would R rather work for a company with an ESOP or cash sharing,
ETH1,1st mentioned country of origin,
ETH2,2nd mentioned country of origin,
ETH3,3rd mentioned country of origin,
ETHNIC,Country of family origin,
ETHNUM,Type of response about ethnicity:R,
EVCRACK,R ever use crack cocaine,
EVIDU,R ever inject drugs,
EVOLVED,Sci knowledge: human beings developed from animals,
EVOLVED2,Elephants evolved from earlier species: true or false,
EVPAIDSX,EveR have sex paid for or being paid since 18,
EVSTRAY,Have sex other than spouse while married,
EVWORK,Ever work as long as one year,Did you ever work for as long as one year?
EXPDESGN,Better way to test drug btw control and non-control,
EXPTEXT,Why is it better to test drug this way,
EXTR2017,Did R receive any  performance-based incentives in 2017,
EXTRAPAY,Eligible for performance based pay,
EXTRAVAL,Total dollar value of pay in previous year,
EXTRAYR,Year of the most recent perf based payments,
FAIR,People fair or try to take advantage,
FAIREARN,How fair is what R earn on the job,
FAMDIF16,Reason not living with parents,
FAMGEN,Number of family generations in household,
FAMILY16,Living with parents when 16 yrs old,
FAMMHNEG,R's family's negative attitudes about MH problems,
FAMPRESS,Do R family's members put pressure on R about the way R lives or organizes their life?,
FAMVSWK,How often fam life interfere job,
FAMWKOFF,How hard to take time off,
FATALISM,People can't change the course of their lives,
FATIGUE,"In the past 7 days, R's average fatigue",
FEAR,Afraid to walk at night in neighborhood,"Is there any area around your home--that is, within a mile--where you would be afraid to walk alone at night?"
FECHLD,Mother working doesn't hurt children,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.
FEELEVEL,Amount of fees paid,
FEELREL,How religious Is R,
FEEUSED,Fee given to get case,
FEFAM,"Better for man to work, woman tend home",It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.
FEHIRE,Should hire and promote women,"Because of past discrimination, employers should make special efforts to hire and promote qualified women."
FEJOBAFF,For or against preferential hiring of women,
FEPOL,Women not suited for politics,Most men are better suited emotionally for politics than are most women.
FEPRESCH,Preschool kids suffer if mother works,A preschool child is likely to suffer if his or her mother works.
FINALTER,Change in financial situation,"During the last few years, has your financial situation been getting better, getting worse, or has it stayed the same?"
FINRELA,Opinion of family income,"Compared with American families in general, would you say your family income is--far below average, below average, average, above average, or far above average? If you are uncertain, just give us your best guess."
FIRSTYOU,Should take care of oneself and ones family first,
FISH,Fish,
FISHB4,Fish,
FORM,Form of split questionnaire asked,
FORMWT,Weight deal with experimental randomization,
FRINGEOK,Fringe benefits are good,
FRNDSEX,R had sex with friend last year,
FUCITZN,Is R planning/appling for US citizenship or not,
FUND,How fundamentalist Is R currently,
FUND16,How fundamentalist was R at age 16,
GENDER1,Gender of 1st person,
GENDER10,Gender of 10th person,
GENDER11,Gender of 11th person (visitor),
GENDER12,Gender of 12th person (visitor),
GENDER2,Gender of 2nd person,
GENDER3,Gender of 3rd person,
GENDER4,Gender of 4th person,
GENDER5,Gender of 5th person,
GENDER6,Gender of 6th person,
GENDER7,Gender of 7th person,
GENDER8,Gender of 8th person,
GENDER9,Gender of 9th person,
GENEABRT2,R would want to abort fetus if there were genetic defects,
GENEGEN,How dangerous modifying genes in crops,
GENEGOO2,Genetic testing good or harm,
GENESELF2,R would want genetic test done on fetus,
GENETICS,How likely X s situation caused by genetic problem,
GENETST1,Know about genetic testing,
GETAHEAD,Opinion of how people get ahead,Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?
GOAT,Goat,
GOATB4,Goat,
GOD,R's confidence in the existence of god,
GODCHNGE,Describe your beliefs about god,
GODMEANS,Life meaningful because god exists,
GODSWILL,How likely X s situation caused by god s will,
GOODLIFE,Standard of living of R will improve,
GOVEQINC,Govmnt should reduce inc differentials,
GOVLAZY,The social benefits from the government make people lazy,
GOVVSREL,Governments should not interfere with the attempts of any religion to spread its faith,
GRANBORN,How many grandparents born outside U.S.,
GRASS,Should marijuana be made legal,
GUNLAW,Favor or oppose gun permits,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?
HANDMOVE,R perform forceful hand movements,
HAPCOHAB,Happiness of relt with partner,"Taking things all together, would you say that your relationship with your partner is very happy, pretty happy, or not too happy?"
HAPMAR,Happiness of marriage,"Taking things all together, how would you describe your marriage? Would you say that your marriage is very happy, pretty happy, or not too happy?"
HAPPY,General happiness,"Taken all together, how would you say things are these days—would you say that you are very happy, pretty happy, or not too happy?"
HAPUNHAP,Happy or unhappy with life today,
HAVEINFO,Enough info to get the job done,
HEALTH,Condition of health,"Would you say your own health, in general, is excellent, good, fair, or poor?"
HEALTH1,R's health in general,
HEALTHISSP,MERGED HEALTHISSP_D AND HEALTHISSP_E,
HEAVEN,Belief in heaven,
HEFINFO,Number of hef informant,
HEIGHT,R is how tall,
HELL,Belief in hell,
HELPBLK,Should govt aid blacks?,
HELPFRDS,Should better off ppl help less well-off friend,
HELPFUL,People helpful or looking out for selves,
HELPNOT,Should govt do more or less?,
HELPOTH,To help others,
HELPPOOR,Should govt improve standard of living?,
HELPSICK,Should govt help pay for medical care?,
HHRACE,Race of household,
HHTYPE,Household type,
HHTYPE1,Household type (condensed),
HINDUS,What is your personal attitude towards members of the following religious group - Hindus,
HISPANIC,Hispanic specified,
HIVTEST,Have you ever been tested for HIV,
HIVTEST1,In what month and year was your last HIV test,
HIVTEST2,Where did you have your last HIV test,
HLPADVCE,Who R would first turn to if they needed advice about family problems,
HLPDOWN,Who R would first turn to if they needed help because they were feeling down or depressed,
HLPEQUIP,Enough help and equip to ge the job done,
HLPHOME,Who R would first turn to if they needed help with a household or a garden job,
HLPJOB,Who R would first turn to if they needed help finding a job,
HLPLOAN,Who R would first turn to if they needed to borrow large sums of money,
HLPPAPER,Who R would first turn to if they needed help with admin or official paperwork,
HLPRESDE,Who R would first turn to if they needed help finding a place tolive,
HLPSICK,Who R would first turn to if they needed help around the house if sick,
HLPSICKR,Who R would first turn to if they needed someone to look after them while seriously ill,
HLPSOCOC,Who R would first turn to if they wanted to enjoy a pleasant social occasion,
HLTHDAYS,Days of activity limitation past 30 days,
HLTHMNTL,"R's mental health, mood, and ability to think",
HLTHPHYS,R's physical health,
HLTHSTRT,"Would you say the respondent? health in general is excellent, good, fair, or poor?",
HOMOSEX,Homosexual sex relations,"What about sexual relations between two adults of the same sex-- do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
HOMOSEX1,Is homosexual sex wrong?,
HOMPOP,Number of persons in household,
HORSE,Horse,
HORSEB4,Horse,
HOTCORE,Sci knowledge: the center of earth is very hot,
HRS1,Number of hours worked last week,"How many hours did you work last week, at all jobs?"
HRS2,Number of hours usually work a week,"How many hours a week do you usually work, at all jobs?"
HRSRELAX,Hours per day R have to relax,
HSBIO,R ever took a high school biology course,
HSCHEM,R ever took a high school chemistry course,
HSMATH,The highest level of math R completed in high school,
HSPHYS,R ever took a high school physics course,
HUADD,Housing unit (HU) at address?,
HUADDWHY,Why there is no hu at this address,
HUBBYWRK,Husb shld work wife shld look after home,
HUCLEAN,R HU interior cleanliness rating,
HUNT,Does R or spouse hunt,And now a question on a different topic. {spfill} go hunting?
HUNT1,Does R or spouse or partner hunt,
HURTATWK,Number of injuries on the job past 12 months,
HURTOTH,How likely X violent toward other people,
HURTSELF,How likely X violent toward oneself,
HVYLIFT,R do repeated lifting,
HYPERTEN,Told have hypertension or high blood pressure,
ID,Respondent ID number,
IDU30,R inject drugs in past 30 days,
IF12WHO,Who would R have voted for in 2012 election,
IF16WHO,WHO YOU WOULD HAVE VOTED FOR,"Who would you have voted for, for President, if you had voted?"
IMBALNCE,How likely X s situation caused by imbalance in brain,
IMPRVOWN,How likely X s situation will improve on its own,
IMPRVTRT,How likely X s situation will improve with treatment,
INCGAP,Income differentials in usa too big,
INCOM16,R's family income when 16 yrs old,"Thinking about the time when you were 16 years old, compared with American families in general then, would you say your family income was -- far below average, below average, average, above average, or far above average?"
INCOME,Total family income,
INCOME16,Total family income,"Your total income includes interest or dividends, rent, Social Security, other pensions, alimony or child support, unemployment compensation, public aid (welfare), armed forces or veteran's allotment."
INCUSPOP,Estimated income status of housing unit,
INDPERF,Size of perf based pay depend on individual,
INDUS10,R's industry code (NAICS 2007),
INDUSGEN,Indust air pollution danger to envir,
INTAGE,Age of interviewer,
INTCNTCT,"How much of R's communication is via text, mobile phone, or internet",
INTECON,Interested in economic issues,
INTEDUC,Interested in local school issues,
INTENVIR,Interested in environmental issues,
INTETHN,Race of interviewer,
INTFARM,Interested in farm issues,
INTHISP,"Is interviewer Spanish, Hispanic or latino",
INTID,Interviewer id,
INTINTL,Interested in international issues,
INTLBLKS,Unintelligent - intelligent,(Do people in this group tend to be unintelligent or tend to be intelligent?)Blacks?
INTLHSPS,Unintelligent - intelligent,"(Do people in these groups tend to be unintelligent or tend to be intelligent?)Hispanics, Latinos?"
INTLWHTS,Unintelligent -intelligent,Where would you rate Whites in general on this scale?
INTMED,Interested in medical discoveries,
INTMIL,Interested in military policy,
INTRACE1,Interviewer s race1,
INTRACE2,Interviewer s race2,
INTRACE3,Interviewer s race3,
INTSCI,Interested in new scientific discoveries,
INTSEX,Sex of interviewer,
INTSPACE,Interested in space exploration,
INTTECH,Interested in technologies,
INTYRS,Years of service as an interviewer at norc,
ISCO08,"Respondent's occupation, 2010 census & 2008 ISCO code",
ISCO88,"Respondent's occupation, 1980 census & 1988 ISCO code",
ISSP,Filter for ISSP cases,
Jew,What sort of Jew R is,
Jew16,What sort of Jew R was at age 16,
JEWS,What is your personal attitude towards members of the following religious group - Jews,
JOBFIND,Could R find equally good job,"About how easy would it be for you to find a job with another employer with approximately the same income and fringe benefits you now have? Would you say very easy, somewhat easy, or not easy at all?"
JOBFIND1,How easy for R to find a same job,
JOBLOSE,Is R likely to lose job,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--very likely, fairly likely, not too likely, or not at all likely?"
JOBSECOK,The job security is good,
KIDPARS,Do adult children have duty to look after parent,
KIDSINHH,Does interviewer believe that there are children under the age of 15 present at this household,
KIDSSOL,R's kids living standard compared to R,
KNOWSCHD,How far in advance know work schedule,
KNOWWHAT,R knows what's expected on job,
KNWBUS,Does R know someone who is a bus driver?,
KNWCLENR,Does R know someone who is a home or office cleaner?,
KNWCOP,Does R know someone who is a police officer?,
KNWCUTTR,Does R know someone who is a hairdresser or barber?,
KNWEXEC,Does R know someone who is a executive at a large company?,
KNWHRMAN,Does R know someone who is a human resources or personnel manager?,
KNWLAWYR,Does R know someone who is a lawyer?,
KNWMCHNC,Does R know someone who is a car mechanic?,
KNWMW1,Gender Identity of Person 1,
KNWMW2,Gender Identity of Person 2,
KNWMW3,Gender Identity of Person 3,
KNWMW4,Gender Identity of Person 4,
KNWMW5,Gender Identity of Person 5,
KNWNURSE,Does R know someone who is a nurse?,
KNWTCHER,Does R know someone who is a school teacher?,
LAIDOFF,R was laid off main job last year,
LASERS,Sci knowledge: lasers work by focusing sound waves,
LEARNNEW,Job requires R to learn new things,
LETDIE1,Allow incurable patients to die,"When a person has a disease that cannot be cured, do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?"
LETIN1A,Number of immigrants nowadays should be,Do you think the number of immigrants to America nowadays should be...
LIBATH,Allow anti-religious book in library,"If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?"
LIBCOM,Allow communists book in library,"communist - Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?"
LIBHOMO,Allow homosexuals book in library,"homosexual - If somebody in your community suggests that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing it, or not?"
LIBMIL,Allow militarists book in library,"militarist - Suppose he wrote a book advocating doing away with elections and letting the military run the country.
Somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?"
LIBMSLM,Allow anti-American muslim clergymen's books in library,"anti-American muslim clergymen If some people in your community suggested that a book he wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?"
LIBRAC,Allow racists book in library,"racist - If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library, would you favor removing this book, or not?"
LIFE,Is life exciting or dull,"In general, do you find life exciting, pretty routine, or dull?"
LIFEIN5,R's rating of life overall in five years from 0-10,
LIFENOW,R's rating of life overall now from 0-10,
LIVEBLKS,Neighborhood half black,"Now we are going to ask you about different types of contact with various groups of people. For the following situation, please indicate whether you would be very much in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very much opposed to it happening. Living in a neighborhood where half of your neighbors are Blacks?"
LNGTHINV,How long was interview,
LOCALNUM,Number of employees: R's work site,"About how many people work at the location where you work? Count part-time as well as full-time employees in all areas, departments, and buildings. If the location where you work is temporarily closed, please tell us how many people usually work there."
LONELY1,How often in the past 4 weeks R has felt they lack companionship,How often in the past 4 weeks have you felt that…You lack companionship?
LONELY2,How often in the past 4 weeks R has felt isolated from others,(How often in the past 4 weeks have you felt that…) You are isolated from others?
LONELY3,How often in the past 4 weeks R has felt left out,
MADEG,Mothers highest degree,
MADENKID,"If protestant, Mothers denomination",
MAEDUC,"Highest year school completed, mother",
MAIND10,Mothers industry code (NAICS 2007),
MAISCO08,"R's spouse's occupation, 2010 census & 2008 ISCO code",
MAISCO88,"R's Mothers occupation, 1980 census & 1988 ISCO code",
MAJOR1,College major 1,
MAJOR2,College major 2,
MAJORCOL,The field of degree R earned,
MAKEFRND,Religion helps people to make friends,
MALEORNT,Interviewer coded male sexual orientation,
MANVSEMP,Relations bw management and employees,
MAOCC10,Mothers census occupation code (2010),
MAPRES10,Mothers occupational prestige score (2010),
MAPRES105PLUS,Mothers occupational prestige score using threshold method (2010),
1-Mar,Marital status of 1st person,
11-Mar,Marital status of 11th person (visitor),
12-Mar,Marital status of 12th person (visitor),
2-Mar,Marital status of 2nd person,
3-Mar,Marital status of 3rd person,
4-Mar,Marital status of 4th person,
5-Mar,Marital status of 5th person,
6-Mar,Marital status of 6th person,
7-Mar,Marital status of 7th person,
8-Mar,Marital status of 8th person,
9-Mar,Marital status of 9th person,
MARAsian,Close relative marry Asian,What about having a close relative marry an Asian American person?
MARBLK,Close relative marry black,What about having a close relative marry a Black person?
MARCOHAB,Cohabitation status,
MARELKID,Mothers religion when R was child,
MARHISP,Close relative marry Hispanic,What about having a close relative marry a Hispanic or Latino person?
MARHOMO,Homosexuals should have right to marry,Homosexual couples have the right to marry one another.
MARITAL,Marital status,"Are you currently--married, widowed, divorced, separated, or have you never been married?"
MARTYPE,Marital type,
MARWHT,R favor close relative marrying white person,"What about having a close relative marry a White person? Would you be very in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening?"
MASEI10,R's mother's socioeconomic index (2010),
MASEI10EDUC,Percentage of some college educ in MAOCC10 based on ACS 2010,
MASEI10INC,Percentage of $45k+ earners in MAOCC10 based on ACS 2010,
MATESEX,Was 1 of R's partner's spouse or regular,
MAWRKGRW,Mothers employment when R was 16,
MAWRKSLF,Mother self-emp. or worked for somebody,
MCSDS1,I’m always willing to admit it when I make a mistake,
MCSDS2,I sometimes try to get even rather than forgive and forget,
MCSDS3,At times I have really insisted on having things my own way,
MCSDS4,I have never been irked when people expressed ideas very different from my own,
MCSDS5,I have never deliberately said something that hurt someone’s feelings,
MCSDS6,I like to gossip at times,
MCSDS7,There have been occasions when I took advantage of someone,
MEDDOC,X should go to general medical doctor for help,
MENTLDOC,X should go to psychiatrist for help,
MENTLHOS,X should check into a mental hospital,
MENTLILL,How likely X is experiencing mental illness,
MENTLOTH,X should go to other mental health professional for help,
MEOVRWRK,Men hurt family when focus on work too much,Family life often suffers because men concentrate too much on their work.
mhdiagno,R knows someone who has been diagnosed with a mental health problem,
MHP1R1,Relation to Person 1 (1st mentioned),
MHP1R2,Relation to Person 1 (2nd mentioned),
MHP2R1,Relation to Person 2 (1st mentioned),
MHP2R2,Relation to Person 2 (2nd mentioned),
MHP3R1,Relation to Person 3 (1st mentioned),
MHP3R2,Relation to Person 3 (2nd mentioned),
MHP4R1,Relation to Person 4 (1st mentioned),
MHP4R2,Relation to Person 4 (2nd mentioned),
MHP5R1,Relation to Person 5 (1st mentioned),
MHP5R2,Relation to Person 5 (2nd mentioned),
MHTREAT1,Is Person 1 currently receiving treatment for their mental health problem,
MHTREAT2,Is Person 2 currently receiving treatment for their mental health problem,
MHTREAT3,Is Person 3 currently receiving treatment for their mental health problem,
